"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Kerstin Griese"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/kerstin-griese"
"Rosa Domm"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/rosa-domm"
"Gabriele Bischoff"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/gabriele-bischoff"
"Alexander Dobrindt"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/alexander-dobrindt"
"Renate Künast"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/renate-kuenast"
"Beate Walter-Rosenheimer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/beate-walter-rosenheimer"
"Daniel Baldy"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/daniel-baldy"
"Matthias Miersch"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-miersch"
"Anke Rehlinger"," SPD","Saarland","https://www.abgeordnetenwatch.de//profile/anke-rehlinger"
"Reinhard Houben"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/reinhard-houben"
"Marcel Emmerich"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/marcel-emmerich"
"Metin Hakverdi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/metin-hakverdi"
"Aydan Özoğuz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/aydan-oezoguz"
"Tino Sorge"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/tino-sorge"
"Andrea Lindholz"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/andrea-lindholz"
"Linda Teuteberg"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/linda-teuteberg"
"Adis Ahmetovic"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/adis-ahmetovic"
"Julia Verlinden"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/julia-verlinden"
"Tessa Ganserer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tessa-ganserer"
"Stefan Seidler"," SSW","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-seidler"
"Stephan Pilsinger"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-pilsinger"
"Frauke Heiligenstadt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt"
"Frauke Heiligenstadt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt"
"Christian Piwarz"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/christian-piwarz"
"Andreas Audretsch"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/andreas-audretsch"
"Tabea Rößner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tabea-roessner"
"Sabine Friedel"," SPD","Sachsen","https://www.abgeordnetenwatch.de//profile/sabine-friedel"
"Verena Hubertz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/verena-hubertz"
"Frank Schäffler"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/frank-schaeffler"
"Helge Braun"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-braun"
"Tobias B. Bacherle"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-b-bacherle"
"Nyke Slawik"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/nyke-slawik"
"Martin Schirdewan"," DIE LINKE","EU-Parlament","https://www.abgeordnetenwatch.de//profile/martin-schirdewan"
"Udo Schiefner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/udo-schiefner"
"Svenja Stadler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/svenja-stadler"
"Kathrin Vogler"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/kathrin-vogler"
"Svenja Hahn"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/svenja-hahn"
"Eva Botzenhart"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/eva-botzenhart"
"Johannes Arlt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-arlt"
"Sanae Abdi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sanae-abdi"
"Bärbel Kofler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/baerbel-kofler"
"Daniel Freund"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/daniel-freund"
"Katja Hessel"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-hessel"
"Jan Dieren"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-dieren"
"Tanja Machalet"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/tanja-machalet"
"Jessica Rosenthal"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jessica-rosenthal"
"Ulle Schauws"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ulle-schauws"
"Olaf Duge"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/olaf-duge"
"Anna Cavazzini"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/anna-cavazzini"
"Michael Schrodi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-schrodi"
"Martina Stamm-Fibich"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/martina-stamm-fibich"
"Jana Schimke"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/jana-schimke"
"Judith Skudelny"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/judith-skudelny"
"Johannes Fechner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-fechner"
"Sven-Christian Kindler"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sven-christian-kindler"
"Tobias Lindner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-lindner"
"Uwe Witt"," parteilos","Bundestag","https://www.abgeordnetenwatch.de//profile/uwe-witt"
"Hanna Steinmüller"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/hanna-steinmueller"
"Till Steffen"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/till-steffen"
"Katja Keul"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-keul"
"Katarina Barley"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katarina-barley"
"Maximilian Funke-Kaiser"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/maximilian-funke-kaiser"
"Katja Keul"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-keul"
"Dennis Rohde"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dennis-rohde"
"Astrid Rothe-Beinlich"," Bündnis 90/Die Grünen","Thüringen","https://www.abgeordnetenwatch.de//profile/astrid-rothe-beinlich"
"Markus Herbrand"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/markus-herbrand"
"Jan-Christoph Oetjen"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jan-christoph-oetjen"
"Luise Amtsberg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/luise-amtsberg"
"Dennis Thering"," CDU","Hamburg","https://www.abgeordnetenwatch.de//profile/dennis-thering"
"Nicole Bauer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/nicole-bauer"
"Jakob Blankenburg"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jakob-blankenburg"
"Oliver Luksic"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/oliver-luksic"
"Sören Bartol"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/soeren-bartol"
"Gökay Akbulut"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/goekay-akbulut"
"Stephanie Aeffner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stephanie-aeffner"
"Saskia Weishaupt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/saskia-weishaupt"
"Jan Korte"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-korte"
"Malte Kaufmann"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/malte-kaufmann"
"Siemtje Möller"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/siemtje-moeller"
"Hannes Walter"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hannes-walter"
