"Name","Party","Parliament","Q_A_Link","ID","Q_asked","Q_answered"
"Macit Karaahmetoğlu"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/macit-karaahmetoglu/fragen-antworten?page=0",121602,32,32
"Otto Fricke"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/otto-fricke/fragen-antworten?page=0",119145,33,32
"Oliver Hildenbrand"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/oliver-hildenbrand/fragen-antworten?page=0",132056,33,32
"Claudia Moll"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/claudia-moll/fragen-antworten?page=0",146801,33,32
"Jan Plobner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-plobner/fragen-antworten?page=0",175439,35,31
"Christos Pantazis"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/christos-pantazis/fragen-antworten?page=0",136381,31,31
"Thomas Heilmann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/thomas-heilmann/fragen-antworten?page=0",123288,31,31
"Axel Echeverria"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/axel-echeverria/fragen-antworten?page=0",175404,32,31
"Johann Wadephul"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/johann-wadephul/fragen-antworten?page=0",78818,32,30
"Franziska Giffey"," SPD","Berlin","https://www.abgeordnetenwatch.de//profile/franziska-giffey/fragen-antworten?page=0",176519,67,30
"Michael Kellner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-kellner/fragen-antworten?page=0",175629,30,30
"Carsten Träger"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/carsten-traeger/fragen-antworten?page=0",78821,30,30
"Isabel Cademartori"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/isabel-cademartori/fragen-antworten?page=0",175436,30,30
"Kai Gehring"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kai-gehring/fragen-antworten?page=0",79358,32,30
"Stefan Schmidt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-schmidt/fragen-antworten?page=0",121977,31,31
"Harald Ebner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/harald-ebner/fragen-antworten?page=0",79405,30,30
"Simona Koß"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/simona-koss/fragen-antworten?page=0",31119,29,29
"Valentin Lippmann"," Bündnis 90/Die Grünen","Sachsen","https://www.abgeordnetenwatch.de//profile/valentin-lippmann/fragen-antworten?page=0",33453,34,29
"Wolfgang Stefinger"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/wolfgang-stefinger/fragen-antworten?page=0",78988,29,29
